run,primTime,kruskalTime
1,٢٠٢٢٨٧٣٫٠٠,٢٠٧٣٩٧٨٫٨٠
2,٢٣٦٩١٧٠٫٨٠,٢١٨١٤٨٤٫٠٠
3,١٦٤٠٤٨١٫٠٠,٥٤٧٠٤٤٠٫١٠
4,٢٢٨٢١٣٧٫٩٠,١٣٠٣٧٩٥٫٩٠
5,٣٩٨٠٩٠٦٫١٠,٩٤٥٨٣٧٫٣٠

Metric,Prim,Kruskal
Mean,٢٤٥٩١١٣٫٧٦,٢٣٩٥١٠٧٫٢٢
Median,٢٢٨٢١٣٧٫٩٠,٢٠٧٣٩٧٨٫٨٠
Standard Deviation,٨٠١٩٦٣٫٥٥,١٦٠٦٠٩٩٫٢٧
