run,primTime,kruskalTime
1,٢٠٩٥١٫٤٠,٢١٤٨٩٫٠٠
2,١٤٣٨٦٫٣٠,٢٣٠٨٣٫٦٠
3,١٦٠٠٦٫٩٠,٢٤٦٥٩٫٢٠
4,١٢٥١٦٫٠٠,١٩٩٩٢٫٥٠
5,١٤٥٨٩٫٧٠,١٦٥٦٢٫٠٠

Metric,Prim,Kruskal
Mean,١٥٦٩٠٫٠٦,٢١١٥٧٫٢٦
Median,١٤٥٨٩٫٧٠,٢١٤٨٩٫٠٠
Standard Deviation,٢٨٥٥٫٤٣,٢٧٧٦٫٩٦
